DNA_plate	DNA_well	sid	phylo_entropy	quadratic	unrooted_pd	rooted_pd	bwpd
P8	E9	S741	2.99804	0.889971	102.408	102.408	2.0949
P8	F10	S750	3.3632	0.957243	114.507	114.507	2.19268
P8	F11	S758	3.58391	1.14121	100.873	100.873	2.64891
P8	F12	S766	3.29648	1.095	100.123	100.123	2.56519
P8	F1	S678	1.67828	0.455652	80.918	80.918	0.998541
P8	F2	S686	2.9886	0.788349	121.95	121.95	1.80969
P8	F3	S694	2.09705	0.74455	77.5202	77.5202	1.92153
P8	F4	S702	3.25812	0.953776	114.682	114.682	2.22947
P8	F5	S710	3.10307	0.848548	126.532	126.532	1.94159
P8	F6	S718	3.51548	0.986466	112.394	112.394	2.20057
P8	F7	S726	3.26418	1.01797	125.422	125.422	2.42211
P8	F8	S734	3.58647	1.03179	115.565	115.565	2.35735
P8	F9	S742	3.24761	0.867285	126.203	126.203	1.99032
P8	G10	S751	3.33784	0.927737	128.968	128.968	2.1385
P8	G11	S759	3.41887	0.934613	133.121	133.121	2.08835
P8	G12	S767	3.33694	0.932291	130.673	130.673	2.16026
P8	G1	S679	1.81345	0.589231	58.3622	58.3622	1.43762
P8	G2	S687	3.04499	0.788511	126.125	126.125	1.75687
P8	G3	S695	3.28302	0.89327	128.067	128.067	2.03652
P8	G4	S703	3.22494	0.977638	99.6707	99.6707	2.27094
P8	G5	S711	3.3817	0.92178	128.816	128.816	2.0786
P8	G6	S719	3.38355	1.00528	105.356	105.356	2.28683
P8	G7	S727	3.06133	0.814088	122.815	122.815	1.84755
P8	G8	S735	3.67447	1.12196	86.7551	86.7551	2.54554
P8	G9	S743	3.08742	0.897301	108.533	108.533	2.12903
P8	H10	S752	3.19742	0.999308	100.402	100.402	2.36307
P8	H11	S760	3.47224	1.04033	107.867	107.867	2.38558
P8	H12	S768	3.55548	0.960341	125.762	125.762	2.14782
P8	H1	S680	3.65124	1.06982	127.254	127.254	2.44658
P8	H2	S688	1.7141	0.636282	10.4482	10.5109	1.49879
P8	H3	S696	3.40122	0.968429	122.894	122.894	2.19551
P8	H4	S704	3.36206	0.962438	121.902	121.902	2.25764
P8	H5	S712	3.17942	0.941466	106.117	106.117	2.1793
P8	H6	S720	3.16768	0.852518	119.072	119.072	1.94444
P8	H7	S728	3.27714	0.88201	124.326	124.326	1.99696
P8	H8	S736	3.30522	0.905421	124.597	124.597	2.06886
P8	H9	S744	2.94453	0.89178	101.471	101.471	2.16242
P9	A10	S841	3.37437	0.945896	117.689	117.689	2.15162
P9	A11	S849	2.46831	0.872518	18.2153	18.2153	2.01927
P9	A12	S857	2.79766	0.994856	19.9553	19.9553	2.32929
P9	A1	S769	3.4395	0.93333	128.645	128.645	2.0849
P9	A2	S777	3.34054	0.940711	133.119	133.119	2.16708
P9	A3	S785	3.40204	0.910939	129.92	129.92	2.05724
P9	A4	S793	3.01238	0.829295	105.812	105.812	1.88612
P9	A5	S801	3.35658	0.907098	131.861	131.861	2.02236
P9	A6	S809	3.07238	0.877515	115.582	115.582	2.02051
P9	A7	S817	3.25554	0.930707	102.647	102.647	2.10601
P9	A8	S825	1.86891	0.617691	52.1151	52.1151	1.53222
P9	A9	S833	3.20152	0.908999	126.767	126.767	2.10946
P9	B10	S842	3.20055	0.890023	119.593	119.593	2.0386
P9	B11	S850	2.17428	0.917615	9.06762	9.13035	2.17684
P9	B12	S858	2.8222	1.00086	17.7871	17.7871	2.29869
P9	B1	S770	3.0525	0.833584	119.877	119.877	1.88316
P9	B2	S778	3.00183	0.871565	100.772	100.772	2.01688
P9	B3	S786	3.09103	0.946634	109.393	109.393	2.25934
P9	B4	S794	3.29534	0.932342	121.452	121.452	2.12294
P9	B5	S802	3.23879	0.885494	127.547	127.547	2.01658
P9	B6	S810	3.41296	0.946388	127.803	127.803	2.10175
P9	B7	S818	2.98947	0.895058	104.519	104.519	2.13799
P9	B8	S826	3.40965	0.925502	131.922	131.922	2.05914
P9	B9	S834	3.21241	0.91264	125.793	125.793	2.13166
P9	C10	S843	3.15491	0.860521	118.998	118.998	1.90592
P9	C11	S851	2.25543	0.827515	12.471	12.5337	1.87584
P9	C12	S859	1.63926	0.663889	8.07975	8.14248	1.65133
P9	C1	S771	2.98923	0.871203	105.928	105.928	2.02588
P9	C2	S779	3.30027	0.882888	131.266	131.266	1.98789
P9	C3	S787	3.40039	0.950215	115.304	115.304	2.08496
P9	C4	S795	3.51432	0.928857	144.026	144.026	2.10439
P9	C5	S803	2.99725	0.910958	97.8932	97.8932	2.14274
P9	C6	S811	3.55533	0.963826	136.04	136.04	2.16848
P9	C7	S819	3.03158	0.863522	107.282	107.282	1.99096
P9	C8	S827	3.21779	0.897425	115.58	115.58	2.05126
P9	C9	S835	3.15455	0.871346	136.863	136.863	2.01426
P9	D10	S844	3.36612	0.899854	140.092	140.092	2.06117
P9	D11	S852	2.38769	0.812843	20.8796	20.8796	1.88827
P9	D12	S860	3.51571	1.42335	15.1697	15.1697	3.28902
P9	D1	S772	3.03694	0.839665	113.999	113.999	1.91449
P9	D2	S780	3.28324	0.917262	133.656	133.656	2.08146
P9	D3	S788	3.28159	0.903691	126.319	126.319	2.05315
P9	D4	S796	3.09616	0.812726	124.954	124.954	1.85617
P9	D5	S804	3.26348	0.874333	109.091	109.091	1.96127
P9	D6	S812	3.39639	0.904982	142.782	142.782	2.03965
P9	D7	S820	2.91913	0.84974	99.7691	99.7691	1.99927
P9	D8	S828	2.94927	0.773075	127.155	127.155	1.77345
P9	D9	S836	3.18287	0.860084	117.482	117.482	1.93452
P9	E10	S845	3.07971	0.867032	114.487	114.487	1.97544
P9	E11	S853	2.38495	0.928654	13.3618	13.3618	2.16912
P9	E12	S861	2.85219	1.04473	17.2495	17.3123	2.44005
P9	E1	S773	3.2597	0.894237	128.221	128.221	2.04202
P9	E2	S781	3.22827	0.921189	126.334	126.334	2.11729
P9	E3	S789	3.13265	0.900798	103.162	103.162	2.05546
P9	E4	S797	3.02171	0.887763	110.752	110.752	2.03547
P9	E5	S805	2.95031	0.883458	127.504	127.504	2.21555
P9	E6	S813	3.31533	0.938444	135.187	135.187	2.17493
P9	E7	S821	3.14115	0.853616	114.795	114.795	1.92558
P9	E8	S829	3.25419	0.915441	113.553	113.553	2.0922
P9	E9	S837	3.4446	0.927973	130.939	130.939	2.08944
P9	F10	S846	3.40308	0.995277	135.239	135.239	2.31138
